-	/dispersal	/flowers	/flowers/ovary	/flowers/ovary/stigma	/flowers/stamens	/flowers/stamens/filaments	/fruits	/fruits/apex	/fruits/diameter	/fruits/dimensions	/fruits/length	/fruits/seeds	/fruits/stigma	/fruits/stigma/length	/fruits/thickness	/fruits/width	/habit	/habit/fertile stems	/habit/height	/habit/length	/habit/odor	/habit/rhizome	/habit/upper internodes	/indumentum	/inflorescences	/inflorescences/anthers	/inflorescences/common peduncle	/inflorescences/common peduncle/lateral branches	/inflorescences/common peduncle/lateral branches/length	/inflorescences/common peduncle/length	/inflorescences/common peduncle/peduncle	/inflorescences/common peduncle/peduncle/length	/inflorescences/floral bracts	/inflorescences/floral bracts/diameter	/inflorescences/floral bracts/filaments	/inflorescences/floral bracts/rachises	/inflorescences/flower number	/inflorescences/flowers	/inflorescences/growth form	/inflorescences/length	/inflorescences/ovary	/inflorescences/ovary/stigma	/inflorescences/peduncle	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/rachises	/inflorescences/spikes	/inflorescences/spikes/diameter	/inflorescences/spikes/dimensions	/inflorescences/spikes/length	/inflorescences/spikes/rachises	/inflorescences/spikes/thickness	/inflorescences/spikes/width	/inflorescences/stamens	/inflorescences/stamens/anthers	/inflorescences/stamens/length	/inflorescences/thecae	/infructescences	/infructescences/dimensions	/infructescences/fruits	/infructescences/fruits/diameter	/infructescences/fruits/stigma	/infructescences/fruits/thickness	/infructescences/fruits/width	/infructescences/length	/infructescences/stigma	/infructescences/thickness	/infructescences/width	/internodes	/juvenile fruits	/leaves	/leaves/blade	/leaves/blade/apex	/leaves/blade/base	/leaves/blade/base/length	/leaves/blade/diameter	/leaves/blade/dimensions	/leaves/blade/margins	/leaves/blade/shape	/leaves/blade/texture	/leaves/fertile branches	/leaves/petiole	/leaves/petiole/length	/leaves/petiole/relative distance	/leaves/prophyllum	/leaves/shape	/leaves/stipules	/leaves/veins	/mature fruits	/petiole	/petiole/blade	/petiole/blade/apex	/petiole/blade/base	/petiole/blade/base/differential distance	/petiole/blade/dimensions	/petiole/blade/margins	/petiole/blade/shape	/petiole/blade/texture	/petiole/length	/petiole/ligula	/petiole/ligula/length	/petiole/margins	/petiole/margins/apex	/petiole/margins/base	/petiole/margins/base/differential distance	/petiole/margins/length	/petiole/secondary veins	/petiole/veins	/prophyllum	/prophyllum/length	/prophyllum/sheaths	/shoot apex	/stamens	/stamens/anthers	/stamens/filaments	/stamens/ovary	/stems	/stems/internodes	/stems/internodes/length	/stems/length	/stems/nodes	/stems/thickness	/stems/upper internodes	/stems/upper internodes/length	/stipules	/stipules/blade	/stipules/blade/apex	/stipules/blade/base	/stipules/blade/base/differential distance	/stipules/blade/dimensions	/stipules/blade/margins	/stipules/blade/shape	/stipules/blade/texture	/stipules/dimensions	/stipules/length	/stipules/petiole	/stipules/petiole/length	/stipules/veins	/upper internodes	
Peperomia haematolepis 	-	-	-	-	-	-	Fruits ellipsoid or ovoid narrowing into slender beak, with curved tip,      	-	-	-	-	-	stigma at base of beak.	-	-	-	Epiphytic, glabrous herb. 	-	-	-	-	-	-	-	Inflorescence |, single, 	-	-	-	-	-	-	-	floral bracts rounded, glandular. 	-	-	-	-	-	erect	-	-	-	peduncle not slender, |, glabrous or minutely puberulent; 	3.5-5 cm long	terminal	-	spike |, reddish; 	-	-	2-5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate;      	blade 	apex rounded or emarginate, 	base cuneate; 	-	-	4.5 x 3-4 cm	-	ellipic to obovate (to broadly ovate in extra-Guianan specimens)	-	-	petiole not grooved or winged, 	0.5-1.5 cm long	-	-	-	-	pinnately veined veins branching off in lower part of primary vein, may be obsolete when dried. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem ascending. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia hernandiifolia 	-	-	-	-	-	-	Fruits basely attached, ellipsoid, reddish brown,      	apex with slender beak and stigma at base of beak.	-	-	-	-	-	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping. 	-	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, glandular. 	-	-	-	-	-	-	-	-	-	peduncle not slender, |, minutely pubescent, green; 	1.5-5.5 cm long	terminal or axillary	-	spike |, densely flowered; 	-	-	3-5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, distinctly peltate;      	blade 	apex acuminate, 	base rounded, minutely pubescent, glabrescent; 	-	-	4.5-8(-12) x 3-5.5(-8) cm	margin somewhat ciliate, 	narrowly ovate, ovate or almost orbicular	coriaceous or subcoriaceous	-	petiole attached |, minutely pubescent, glabrescent; 	3-11(-16) cm long	1-3 cm from base	-	-	-	veins 9-11 arising from base. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem |, retrorsely minutely crisp-pubescent, green and reddish. 	-	-	-	-	to 0.4 cm thick when dried	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia lancifolia 	-	-	-	-	-	-	Fruits basely attached, narrowly cylindrical, brown,      	apex with short beak and subapical stigma.	-	-	-	-	-	-	-	-	Terrestrial, epilithic or epiphytic herb, erect or ascending and rooting at decumbent base. 	-	-	-	-	-	-	-	Inflorescence |, solitary, bifurcate or once-branched; 	-	common peduncle green, not slender, 	lateral branches |, with linear-(ob)lanceolate, cadoucous bracts; 	0.5-1.3 cm long	2-6 cm long	-	-	floral bracts rounded, glabrous, glandular. 	-	-	-	-	-	-	-	-	-	-	-	terminal or in upper leaf axils	-	spike densely flowered, erect, |, whitish or yellowish green; 	-	-	4-11 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves basely attached, alternate;      	blade |, somewhat ciliate towards apex, 	apex acuminate, 	base acute, decurrent into petiole, glabrous; 	-	-	(3.5-)7-17 x (0.7-)1-3 cm	-	narrowly elliptic or narrowly oblanceolate	fleshy and membranous	-	petiole |, glabrous, narrowly winged; 	0.5-1 cm long	-	-	-	-	pinnately 7-11-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous, |, green or reddish. 	-	-	10-34 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia macrostachya 	-	-	-	-	-	-	Fruits basely attached, cylindrical, verruculose, brown,      	apex obliquely scutellate with subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic herb, often growing on ants' nests, creeping or hanging and rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence |, few together; 	-	-	-	-	-	-	-	floral bracts rounded, dentate or fimbriate, glandular. 	-	-	-	-	-	pendent	-	-	-	peduncle not slender, |, glabrous or minutely pubescent or papillose, red or brown; 	to 1.5(-3) cm long	terminal	-	spike |, yellow to green, densely flowered; 	-	-	to 30 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, more or less ciliate, 	apex acute or acuminate, 	base rounded or cordulate or acutish, glabrous or slightly pubescent, a waxy exudate like small scales or stars is usually present on upper surface; 	-	-	4-11 x 1.5-6 cm	-	narrowly elliptic to ovate	fleshy-coriaceous or subcoriaceous	-	petiole |, glabrous, ciliate or puberulent, reddish; 	0.5-2 cm long	-	-	-	-	venation obsolete, 7-9-pli-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous, |, green or green with red nodes. 	-	-	to 100 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia magnoliifolia 	-	-	-	-	-	-	Fruits basely attached, subglobose, verruculose, reddish brown or blackish, gradually tapering into beak, which is slightly hooked at the very tip,      	-	-	-	-	-	stigma at base of beak.	-	-	-	Epiphytic, epilithic or terrestrial herb. 	-	-	-	-	-	-	-	Inflorescence |, solitary or usually 2(-few) together; 	-	-	-	-	-	-	-	floral bracts rounded, |, glabrous, glandular. 	5-7 mm in diam.	-	-	-	-	erect	-	-	-	peduncle slender (when dried) or not slender, |, glabrous, green or pinkish; 	1-8 cm long	terminal	-	spike |, green, white or yellow, densely flowered; 	-	-	to 18 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, often red-dotted, |, 	apex rounded, obtuse occasionally slightly emarginate to acutish, 	base cuneately decurrent into petiole, sometimes abruptly contracted, glabrous; 	-	-	4.5-14 x 2.5-6 cm	-	obovate or elliptic, sometimes even broadly elliptic	fleshy	-	petiole |, more or less laterally winged or grooved, glabrous; 	1-7 cm long	-	-	-	-	venation obvious, ca. 7-pli-veined, or a few veins branching off primary vein or obsolete when dried. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem erect, creeping or ascending, rooting at nodes, |, glabrous, green or green with red spots. 	-	-	10-50 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia maguirei 	-	-	-	-	-	-	Fruits not sunken, subbasely attached, globose, green,      	apex with short, thick style and apical stigma.	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, erect or ascending from prostrate, rooting base. 	-	-	-	-	-	-	-	Inflorescence solitary, 	-	-	-	-	-	-	-	floral bracts rounded, with scariose margin, glabrous, glandular. 	-	-	-	-	-	erect	-	-	-	peduncle |, villous, green or reddish brown; 	1-2 cm long	terminal	-	spike |, green, densely flowered, 	-	-	2-7 cm long	rachis hardly ridged; 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves in whorls of 1-4, basely attached;      	blade |, sometimes pink below, |, 	apex rounded to emarginate, 	base acute, glabrous or loosely villous on upper surface, glabrescent, glabrous below; 	-	-	1-3.5 x 0.6-2.3 cm	margin not ciliate, 	obovate or somewhat elliptic	fleshy coriaceous	-	petiole |, loosely villous; 	0.2-0.6 cm long	-	-	-	-	veins 3, obvious. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem loosely villous, |, green or reddish brown. 	-	-	10 cm long when fruiting	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia obtusifolia 	-	-	-	-	-	-	Fruits basely attached, ellipsoid, verruculose, reddish brown or blackish,      	apex abruptly contracted into slender beak, which is curved or curled at tip, 	-	-	-	-	stigma at base of beak.	-	-	-	Epiphytic, epilithic or terrestrial herb. 	-	-	-	-	-	-	-	Inflorescence |, solitary or few together; 	-	-	-	-	-	-	-	floral bracts rounded, |, glabrous, glandular. 	2-4 mm in diam.	-	-	-	-	-	-	-	-	both the common peduncle and those of individual spikes bracteate, green or pinkish, slender (when dried) or not slender, together |, usually minutely pubescent; 	1-14 cm long	terminal	-	spikes |, greenish white to yellow, densely flowered; 	-	-	to 18 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade shiny green, pale green below, |, often with red spots, |, 	apex rounded, obtuse or emarginate, 	base cuneate, glabrous; 	-	-	4-14.5 x 2.5-6.5 cm	-	elliptic, obovate or subspathulate	coriaceous	-	petiole green or green with red spots, |, more or less grooved, minutely pubescent; 	1-6.5 cm long	-	-	-	-	venation obvious or hardly visible, ca, 7-pli-veined, or few veins branching off primary vein. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem erect, creeping or ascending, rooting at nodes, glabrous, green or green with red spots. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia ouabianae 	-	-	-	-	-	-	Fruits sessile, ovoid, brown, somewhat verruculose,      	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, creeping and rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, glandular. 	-	-	-	-	-	-	-	-	-	peduncle slender, |, glabrous or minutely pubescent, green; 	to 1.5 cm long	terminal	-	spike |, sparsely to densely flowered; 	-	-	1.5-5.5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate;      	blade glandular-dotted, 	apex obtuse, 	base acute to obtuse, sparsely to densely villous above, less so beneath, or glabrescent; 	-	-	0.5-2 x 0.3-0.9 cm	margin ciliate, 	oblong-elliptic or oblong-obovate or almost orbicular	-	-	petiole |, loosely villous; 	to 0.5 cm long	-	-	-	-	venation obvious, palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem loosely villous, |, green to reddish. 	-	-	3-8 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia pellucida 	-	-	-	-	-	-	Fruits somewhat stipitate, globose, brown (young, green ones may be finely longitudinally ridged),      	-	-	-	-	-	stigma apical, a short style may be developed.	-	-	-	Terrestrial herb, delicate, erect, glabrous, annual. 	-	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, minutely glandular. 	-	-	-	densely flowered; 	-	-	-	-	-	peduncle slender, |, green; 	to 1 cm long	terminal	-	spike 	-	-	1-6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade 	apex acute to obtuse, 	base rounded, cordulate or truncate; 	-	-	1-3.7(-5) x 1-3.5(-5.5) cm	-	broadly elliptic to deltoid	membranous, often drying translucent	-	petiole |, glabrous; 	to 0.3-2.5 cm long	-	-	-	-	palmately 5-7-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem |, green often reddish tinged. 	-	-	10-30(-40) cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia pernambucensis 	-	-	-	-	-	-	Fruits basely attached, cylindrical, slightly verrucose,      	apex truncate with central stigma.	-	-	-	-	-	-	-	-	Terrestrial or epiphytic, erect herb, glabrous except for pubescent peduncle. 	-	-	-	-	-	-	-	Inflorescence |, paniculate; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, glandular. 	-	-	-	-	-	-	-	-	-	peduncle |, densely velvety pubescent, green; 	5 cm long	terminal	-	spikes |, green, densely flowered; 	-	-	4-8 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade 	apex acuminate, 	base cuneate; 	-	-	15-30 x 4-12 cm	-	narrowly elliptic or oblanceolate	membranous	-	petiole to 	0.25 cm long	-	-	-	-	venation pinnate with 4-5(-8) lateral pairs of veins. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem |, green. 	-	-	to 5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia popayanensis 	-	-	-	-	-	-	Fruits basely attached, ellipsoid,      	apex with slender beak and stigma at base of beak.	-	-	-	-	-	-	-	-	Terrestrial, ascending, almost glabrous herb, rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts, rounded, glabrous. 	-	-	-	-	-	-	-	-	-	peduncle slender, |, with 2-3 caducous bracts, green; 	3-7 cm long	axillary	-	spike |, green; 	-	-	17 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, slightly subpeltate;      	blade 	apex acuminate, 	base rounded to cordulate, minutely ciliate towards apex; 	-	-	to 12 x 7 cm	-	ovate	coriaceous	-	petiole 	to 20 cm long	-	-	-	-	somewhat pli-veined with 2 pairs at base and 2-3 pairs from primary vein. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous, green. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia purpurinervis 	-	-	-	-	-	-	Fruits basely attached, ovoid to globose, smooth,      	-	-	-	-	-	stigma apical.	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping to ascending. 	-	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, glandular. 	-	-	-	-	-	-	-	-	-	peduncle not slender, |, glabrous or minutely pubescent; 	0.5-2.5 cm long	terminal	-	spike erect, |, yellow or pale green or greenish white, laxly flowered; 	-	-	5-7 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, maybe sparsely ciliate, 	apex acute to obtuse, 	base acute or obtuse, glabrous or slightly hirtellous, green above, often magenta-red below; 	-	-	1-3.5 x 0.8-2.3 cm	-	elliptic, subobovate or broadly ovate	fleshy-coriaceous	-	petiole 	0.2-1 cm long	-	-	-	-	veins 3, obvious, often red below. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous to minutely pubescent (with white hairs, Persaud 52), |, reddish. 	-	-	10-28 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia quadrangularis 	-	-	-	-	-	-	Fruits somewhat sunken when young, slightly stipitate when ripe, ovoid, smooth and shiny (in vivo) brown, upper half often grayish, verruculose or papillate, with apical stigma.	-	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, creeping or hanging, sometimes mat-forming. 	-	-	-	-	-	-	-	Inflorescence |, solitary or two together, 	-	-	-	-	-	-	-	floral bracts rounded or oblong, glabrous, glandular; 	-	-	-	-	-	erect	-	-	-	peduncle not slender, |, pubescent, 2-bracteate, red, brownish or green; 	0.5-4 cm long	axillary or occasionally terminal	rachis strongly ridged (at least when dried). 	spike |, green or yellow-green, laxly to moderately flowered; 	-	-	up to 6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves opposite, basely attached;      	blade 	apex obtuse, rounded or slightly acute, 	base acute to rounded, dark green above, with paler veins beneath, minutely puberulent above, sparsely so and glabrescent beneath; 	-	-	1-4.5 x 0.8-2.2(-2.7) cm	margin ciliate, 	broadly elliptic, obovate or orbicular	fleshy coriaceous	-	petiole |, glabrous or minutely pubescent; 	0.1-0.5 cm long	-	-	-	-	palmately 3-veined, veins impressed above, prominent beneath. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem quadrangular, minutely pubescent,      	internodes |, green brownish or reddish. 	2-6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia quadrifolia 	-	-	-	-	-	-	Fruits basely attached, ovoid or subglobose, brown,      	apex attenuate or somewhat stylose, 	-	-	-	-	stigma apical.	-	-	-	Epiphytic, trailing, glabrous herb. 	-	-	-	-	-	-	-	Inflorescence |, solitary, 	-	-	-	-	-	-	-	floral bracts rounded, glabrous and sparsely glandular. 	-	-	-	-	-	erect	-	-	-	peduncle not slender, |, green; 	up to 1.7 cm long	terminal	-	spike |, densely flowered, green; 	-	-	1-3.5 (according to Henkel 946, to 10) cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves in whorls of 3-6, usually 4, basely attached;      	blade 	apex emarginate, occasionally with hairs in indentation, 	base acute; 	-	-	0.6-1.8 x 0.4-1.0 cm	-	subspathulate, or elliptic-, or oblong-obovate	fleshy-coriaceous	-	petiole 	0.1-0.4 cm long	-	-	-	-	palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem erect to ascending, glabrous, |, green or reddish. 	-	-	up to 25 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia reptans 	-	-	-	-	-	-	Fruits basely attached, subglobose to ovoid, with more or less hooked beak and subapical stigma.	-	-	-	-	-	-	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping. 	-	-	-	-	-	-	-	Inflorescence single, 	-	-	-	-	-	-	-	floral bracts rounded, glandular. 	-	-	-	-	-	-	-	-	-	peduncle not slender, often bracteate, |, longer than spike, pubescent, sometimes red; 	3-6 cm long	axillary	-	spike |, green or yellow, densely flowered; 	-	-	1-2.5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, dark green above, light green beneath, |, 	apex acutely obtuse, 	base cordate, cordulate or rounded, brown appressed-pilose above, below light green (Tillett), red with green (Persaud) or brown (Hahn) stripes and white hairs (Persaud); 	-	-	0.8-2.5 x 0.8-2.5 cm	margin ciliate, 	broadly ovate to deltoid	fleshy, coriaceous	-	petiole |, retrorsely appressed-pubescent; 	1-1.5(-4.5) cm long	-	-	-	-	venation obvious in dried state, obsoletely palmately 5-7-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem succulent, glossy, retrorsely crisp-pubescent, green with red spots or reddish. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia rhombea 	-	-	-	-	-	-	Fruits ellipsoid or ovoid, |, slightly stipitate at maturity, 	-	-	-	0.9-1 mm long	-	stigma apical.	-	-	-	Epiphytic, stoloniferous herb. 	-	-	-	-	-	-	-	Inflorescence |, solitary, simple; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, 	0.4-0.5 mm in diam.	-	-	-	-	-	-	-	-	peduncle |, minutely pubescent; 	0.8-3.7 cm long	terminal	-	spike 	-	-	2.2-6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves in whorls of 3-5, usually 4;      	blade 	-	-	-	-	1.3-1.5 x 0.4-1 cm	margin ciliolate at apex, obtuse at apex, narrowly acute at base, glabrous above, sparsely minutely pubescent below; 	subrhombic, elliptic or narrowly elliptic	coriaceous fleshy	-	petiole |, minutely pubescent; 	0.1-0.5 cm long	-	-	-	-	distinctly palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem sparsely pubescent. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia rotundifolia 	-	-	-	-	-	-	Fruits (sub)basely attached, globose to ovoid, brown, reticulately verruculose,      	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, prostrate with ascending stem tips rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, glandular. 	-	-	-	-	-	-	-	-	-	peduncle not nodose, without bract, |, pubescent or glabrous; 	up to 1 cm long	terminal	-	spike |, yellow to red, moderately to densely flowered; 	-	-	2-6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached, sometimes subpeltate,      	blades 	apex rounded, 	base rounded, glabrous to puberulent; 	-	-	(0.5-)1-1.2 x (0.5-)1-1.2 cm	margin ciliate, 	broadly elliptic to elliptic or almost orbicular	fleshy or fleshy coriaceous	fertile branches often with distally progressively smaller leaves; 	petiole |, pubescent to glabrous; 	up to 1 cm long	-	-	-	-	obsolete palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem crisp-pubescent when young,      	internodes |, green often with red spots. 	0.3-2 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia serpens 	-	-	-	-	-	-	Fruits basely attached, ellipsoid, brown,      	apex with slender beak and subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, creeping or twining and rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, glandular. 	-	-	-	-	-	-	-	-	-	peduncle nodose or with 1-2 caducous bracts, not slender, |, crisp-pubescent, not winged, green; 	to 3 cm long	terminal	-	spike |, pale green, densely flowered; 	-	-	up to 1.7 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, slightly peltate;      	blade |, ciliolate towards apex, 	apex rounded, 	base rounded, some hairs on young leaves only; 	-	-	1-2 x 1-2 cm	-	broadly elliptic or deltoid	fleshy or slightly coriaceous	-	petiole |, crisp-pubescent; 	to 2 cm long	-	-	-	-	venation obsoletely 3-5-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem minutely crisp-pubescent,      	internodes |, green. 	0.5-3 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia tenella 	-	-	-	-	-	-	Fruits slightly stipitate at maturity, ellipsoid to obpyriform, with short beak and apical stigma.	-	-	-	-	-	-	-	-	-	Terrestrial, epilithic or epiphytic, not branched, tiny herb, decumbent and rooting at base,      	fertile stems erect. 	-	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded to narrowly oblong, glabrous, glandular. 	-	-	-	-	-	erect	-	-	-	peduncle not slender, |, glabrous, green; 	0.4-1.5 cm long	terminal	-	spike |, green, flowers distinctly separate; 	-	-	1.7-4 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade 	apex obtuse and minutely emarginate with hairs in indentation, 	base acutish to obtuse, glabrous and ciliate, sometimes sparsely pilose; 	-	-	0.6-1.5 x 0.2-1.4 cm	-	elliptic or ovate	fleshy-subcoriaceous	-	petiole |, glabrous or with a few hairs at node; 	0.1-0.5 cm long	-	-	-	-	obsoletely palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous to somewhat minutely pubescent,      	internodes |, green with lilac. 	0.2-1.6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
