-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/length	/leaves/veins	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/colour	/stems	/stems/shape	/stems/texture	/stems/hairs	/stems/growth form	/stems/colour	/stems/length	/habitat	/habitat/growth form	/habitat/colour	/habitat/altitude	
Peperomia ouabianae 	Fruits sessile, ovoid, brown, somewhat verruculose,      	ovoid	-	-	-	brown	apex oblique with subapical stigma.	oblique	-	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, creeping and rooting at nodes. 	-	-	creeping	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle slender, |, glabrous or minutely pubescent, green; 	-	glabrous,pubescent	green	to 1.5 cm long	terminal	-	-	-	-	spike |, sparsely to densely flowered; 	-	-	red	1.5-5.5 cm long	-	-	-	-	-	-	-	-	Leaves alternate;      	blade glandular-dotted, 	-	-	-	-	apex obtuse, 	obtuse	-	base acute to obtuse, sparsely to densely villous above, less so beneath, or glabrescent; 	acute to obtuse	glabrescent,villous	-	-	-	0.5-2 x 0.3-0.9 cm	-	margin ciliate, 	-	ciliate	oblong-elliptic or oblong-obovate or almost orbicular	oblong,orbicular,ovate	-	-	petiole |, loosely villous; 	-	-	villous	-	to 0.5 cm long	venation obvious, palmately 3-veined. 	ob	-	-	-	-	Stem loosely villous, |, green to reddish. 	-	-	villous	-	green to reddish	3-8 cm long	-	-	-	from sea level to 850-1400 m	
Peperomia pellucida 	Fruits somewhat stipitate, globose, brown (young, green ones may be finely longitudinally ridged),      	globose	-	-	-	brown,green	-	-	-	-	-	-	-	stigma apical, a short style may be developed.	-	-	-	Terrestrial herb, delicate, erect, glabrous, annual. 	-	glabrous	erect	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, glabrous, minutely glandular. 	rounded	-	glabrous	-	-	-	peduncle slender, |, green; 	-	-	green	to 1 cm long	terminal	-	-	-	-	spike 	-	-	-	1-6 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	-	-	-	-	-	apex acute to obtuse, 	acute to obtuse	-	base rounded, cordulate or truncate; 	rounded,truncate	-	-	-	-	1-3.7(-5) x 1-3.5(-5.5) cm	-	-	-	-	broadly elliptic to deltoid	deltoid	membranous, often drying translucent	-	petiole |, glabrous; 	-	-	glabrous	-	to 0.3-2.5 cm long	palmately 5-7-veined. 	-	-	-	-	-	Stem |, green often reddish tinged. 	-	-	-	-	green,reddish	10-30(-40) cm long	-	-	-	-	
Peperomia pernambucensis 	Fruits basely attached, cylindrical, slightly verrucose,      	cylindric	-	-	-	-	apex truncate with central stigma.	truncate	-	-	-	-	-	-	-	-	-	Terrestrial or epiphytic, erect herb, glabrous except for pubescent peduncle. 	-	glabrous,pubescent	erect	-	Inflorescence |, paniculate; 	paniculate	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle |, densely velvety pubescent, green; 	-	pubescent	green	5 cm long	terminal	-	-	-	-	spikes |, green, densely flowered; 	-	-	green,red	4-8 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	-	-	-	-	-	apex acuminate, 	acuminate	-	base cuneate; 	cuneate	-	-	-	-	15-30 x 4-12 cm	-	-	-	-	narrowly elliptic or oblanceolate	ob	membranous	-	petiole to 	-	-	-	-	0.25 cm long	venation pinnate with 4-5(-8) lateral pairs of veins. 	-	-	lateral	-	-	Stem |, green. 	-	-	-	-	green	to 5 cm long	-	-	-	to 700 m	
Peperomia popayanensis 	Fruits basely attached, ellipsoid,      	-	-	-	-	-	apex with slender beak and stigma at base of beak.	-	-	-	-	-	-	-	-	-	-	Terrestrial, ascending, almost glabrous herb, rooting at nodes. 	-	glabrous	-	-	Inflorescence |, solitary; 	-	-	-	floral bracts, rounded, glabrous. 	rounded	-	glabrous	-	-	-	peduncle slender, |, with 2-3 caducous bracts, green; 	-	-	green	3-7 cm long	axillary	-	-	-	-	spike |, green; 	-	-	green	17 cm long	-	-	-	-	-	-	-	-	Leaves alternate, slightly subpeltate;      	-	-	-	-	-	apex acuminate, 	acuminate	-	base rounded to cordulate, minutely ciliate towards apex; 	rounded	ciliate	-	-	-	to 12 x 7 cm	-	-	-	-	ovate	ovate	coriaceous	-	petiole 	-	-	-	-	to 20 cm long	somewhat pli-veined with 2 pairs at base and 2-3 pairs from primary vein. 	-	-	-	-	-	Stem glabrous, green. 	-	-	glabrous	-	green	-	-	-	-	-	
Peperomia purpurinervis 	Fruits basely attached, ovoid to globose, smooth,      	ovoid to globose	smooth	-	-	-	-	-	-	-	-	-	-	stigma apical.	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping to ascending. 	-	-	creeping	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle not slender, |, glabrous or minutely pubescent; 	-	glabrous,pubescent	-	0.5-2.5 cm long	terminal	-	-	-	-	spike erect, |, yellow or pale green or greenish white, laxly flowered; 	-	erect	green,red,white,yellow	5-7 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, maybe sparsely ciliate, 	-	-	ciliate	-	apex acute to obtuse, 	acute to obtuse	-	base acute or obtuse, glabrous or slightly hirtellous, green above, often magenta-red below; 	acute or obtuse	glabrous,hirtellous	-	green,magenta,red	-	1-3.5 x 0.8-2.3 cm	-	-	-	-	elliptic, subobovate or broadly ovate	ob,ovate	fleshy-coriaceous	-	petiole 	-	-	-	-	0.2-1 cm long	veins 3, obvious, often red below. 	ob	-	-	-	red	Stem glabrous to minutely pubescent (with white hairs, Persaud 52), |, reddish. 	-	-	glabrous,hairs,pubescent	-	reddish,white	10-28 cm long	in dense forest on sandstone, 	-	-	1120-2750 m	
Peperomia quadrangularis 	Fruits somewhat sunken when young, slightly stipitate when ripe, ovoid, smooth and shiny (in vivo) brown, upper half often grayish, verruculose or papillate, with apical stigma.	ovoid	smooth	-	-	brown	-	-	-	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, creeping or hanging, sometimes mat-forming. 	-	-	creeping	-	Inflorescence |, solitary or two together, 	-	-	-	floral bracts rounded or oblong, glabrous, glandular; 	rounded or oblong	-	glabrous	-	erect	erect	peduncle not slender, |, pubescent, 2-bracteate, red, brownish or green; 	-	pubescent	brownish or green,red	0.5-4 cm long	axillary or occasionally terminal	-	rachis strongly ridged (at least when dried). 	-	-	spike |, green or yellow-green, laxly to moderately flowered; 	-	-	green or yellow	up to 6 cm long	-	-	-	-	-	internodes 2-6 cm long |, green brownish or reddish. 	-	brownish or reddish	Leaves opposite, basely attached;      	-	-	-	-	-	apex obtuse, rounded or slightly acute, 	acute,ob,obtuse,rounded	-	base acute to rounded, dark green above, with paler veins beneath, minutely puberulent above, sparsely so and glabrescent beneath; 	acute to rounded	glabrescent,puberulent	-	green	-	1-4.5 x 0.8-2.2(-2.7) cm	-	margin ciliate, 	-	ciliate	broadly elliptic, obovate or orbicular	ob,orbicular,ovate,ovate or orbicular	fleshy coriaceous	-	petiole |, glabrous or minutely pubescent; 	-	-	glabrous,pubescent	-	0.1-0.5 cm long	palmately 3-veined, veins impressed above, prominent beneath. 	-	-	-	-	-	Stem quadrangular, minutely pubescent,      	quadrangular	-	pubescent	-	-	-	in savanna forest, 	-	-	up to 200 m	
Peperomia quadrifolia 	Fruits basely attached, ovoid or subglobose, brown,      	ovoid or subglobose	-	-	-	brown	apex attenuate or somewhat stylose, 	attenuate	-	-	-	-	-	stigma apical.	-	-	-	Epiphytic, trailing, glabrous herb. 	-	glabrous	-	-	Inflorescence |, solitary, 	-	-	-	floral bracts rounded, glabrous and sparsely glandular. 	rounded	-	glabrous	-	erect	erect	peduncle not slender, |, green; 	-	-	green	up to 1.7 cm long	terminal	-	-	-	-	spike |, densely flowered, green; 	-	-	green,red	1-3.5 (according to Henkel 946, to 10) cm long	-	-	-	-	-	-	-	-	Leaves in whorls of 3-6, usually 4, basely attached;      	-	-	-	-	-	apex emarginate, occasionally with hairs in indentation, 	-	hairs	base acute; 	acute	-	-	-	-	0.6-1.8 x 0.4-1.0 cm	-	-	-	-	subspathulate, or elliptic-, or oblong-obovate	oblong,ovate,subspathulate	fleshy-coriaceous	-	petiole 	-	-	-	-	0.1-0.4 cm long	palmately 3-veined. 	-	-	-	-	-	Stem erect to ascending, glabrous, |, green or reddish. 	-	-	glabrous	erect	green or reddish	up to 25 cm long	-	-	-	1000-2800 m	
Peperomia reptans 	Fruits basely attached, subglobose to ovoid, with more or less hooked beak and subapical stigma.	subglobose to ovoid	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping. 	-	-	creeping	-	Inflorescence single, 	-	-	-	floral bracts rounded, glandular. 	rounded	-	-	-	-	-	peduncle not slender, often bracteate, |, longer than spike, pubescent, sometimes red; 	-	pubescent	red	3-6 cm long	axillary	-	-	-	-	spike |, green or yellow, densely flowered; 	-	-	green or yellow	1-2.5 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, dark green above, light green beneath, |, 	-	-	-	green	apex acutely obtuse, 	acute,ob,obtuse	-	base cordate, cordulate or rounded, brown appressed-pilose above, below light green (Tillett), red with green (Persaud) or brown (Hahn) stripes and white hairs (Persaud); 	cordate,rounded	hairs,pilose	-	brown,green,red,white	-	0.8-2.5 x 0.8-2.5 cm	-	margin ciliate, 	-	ciliate	broadly ovate to deltoid	ovate to deltoid	fleshy, coriaceous	-	petiole |, retrorsely appressed-pubescent; 	-	-	pubescent	-	1-1.5(-4.5) cm long	venation obvious in dried state, obsoletely palmately 5-7-veined. 	ob	-	-	-	-	Stem succulent, glossy, retrorsely crisp-pubescent, green with red spots or reddish. 	-	-	pubescent	-	green,red	-	-	-	-	300-1900 m	
Peperomia rhombea 	Fruits ellipsoid or ovoid, |, slightly stipitate at maturity, 	ovoid	-	-	-	-	-	-	-	-	-	0.9-1 mm long	-	stigma apical.	-	-	-	Epiphytic, stoloniferous herb. 	-	-	-	-	Inflorescence |, solitary, simple; 	-	-	-	floral bracts rounded, glabrous, 	rounded	-	glabrous	-	-	-	peduncle |, minutely pubescent; 	-	pubescent	-	0.8-3.7 cm long	terminal	-	-	-	-	spike 	-	-	-	2.2-6 cm long	-	-	-	-	-	-	-	-	Leaves in whorls of 3-5, usually 4;      	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.3-1.5 x 0.4-1 cm	-	margin ciliolate at apex, obtuse at apex, narrowly acute at base, glabrous above, sparsely minutely pubescent below; 	acute,ob,obtuse	ciliolate,glabrous,pubescent	subrhombic, elliptic or narrowly elliptic	subrhombic	coriaceous fleshy	-	petiole |, minutely pubescent; 	-	-	pubescent	-	0.1-0.5 cm long	distinctly palmately 3-veined. 	-	-	-	-	-	Stem sparsely pubescent. 	-	-	pubescent	-	-	-	-	-	-	-	
Peperomia rotundifolia 	Fruits (sub)basely attached, globose to ovoid, brown, reticulately verruculose,      	globose to ovoid	-	-	-	brown	apex oblique with subapical stigma.	oblique	-	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, prostrate with ascending stem tips rooting at nodes. 	-	-	-	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle not nodose, without bract, |, pubescent or glabrous; 	-	pubescent or glabrous	-	up to 1 cm long	terminal	-	-	-	-	spike |, yellow to red, moderately to densely flowered; 	-	-	yellow to red	2-6 cm long	-	-	-	-	-	internodes 0.3-2 cm long |, green often with red spots. 	-	green,red	Leaves alternate, basely attached, sometimes subpeltate,      	-	-	-	-	-	apex rounded, 	rounded	-	base rounded, glabrous to puberulent; 	rounded	glabrous to puberulent	-	-	-	(0.5-)1-1.2 x (0.5-)1-1.2 cm	-	margin ciliate, 	-	ciliate	broadly elliptic to elliptic or almost orbicular	orbicular	fleshy or fleshy coriaceous	-	petiole |, pubescent to glabrous; 	-	-	pubescent to glabrous	-	up to 1 cm long	obsolete palmately 3-veined. 	ob	-	-	-	-	Stem crisp-pubescent when young,      	-	-	pubescent	-	-	-	humid forests 	-	-	from sea level up to 1000 m	
Peperomia serpens 	Fruits basely attached, ellipsoid, brown,      	-	-	-	-	brown	apex with slender beak and subapical stigma.	-	-	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, creeping or twining and rooting at nodes. 	-	-	creeping	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle nodose or with 1-2 caducous bracts, not slender, |, crisp-pubescent, not winged, green; 	-	pubescent	green	to 3 cm long	terminal	-	-	-	-	spike |, pale green, densely flowered; 	-	-	green,red	up to 1.7 cm long	-	-	-	-	-	internodes 0.5-3 cm long |, green. 	-	green	Leaves alternate, slightly peltate;      	blade |, ciliolate towards apex, 	-	-	ciliolate	-	apex rounded, 	rounded	-	base rounded, some hairs on young leaves only; 	rounded	hairs	-	-	-	1-2 x 1-2 cm	-	-	-	-	broadly elliptic or deltoid	deltoid	fleshy or slightly coriaceous	-	petiole |, crisp-pubescent; 	-	-	pubescent	-	to 2 cm long	venation obsoletely 3-5-veined. 	ob	-	-	-	-	Stem minutely crisp-pubescent,      	-	-	pubescent	-	-	-	-	-	-	from sea level to 1200 m	
Peperomia tenella 	Fruits slightly stipitate at maturity, ellipsoid to obpyriform, with short beak and apical stigma.	ob,pyriform	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Terrestrial, epilithic or epiphytic, not branched, tiny herb, decumbent and rooting at base,      	-	-	-	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded to narrowly oblong, glabrous, glandular. 	oblong,rounded	-	glabrous	-	erect	erect	peduncle not slender, |, glabrous, green; 	-	glabrous	green	0.4-1.5 cm long	terminal	-	-	-	-	spike |, green, flowers distinctly separate; 	-	-	green	1.7-4 cm long	-	-	-	-	-	internodes 0.2-1.6 cm long |, green with lilac. 	-	green,lilac	Leaves alternate, basely attached;      	-	-	-	-	-	apex obtuse and minutely emarginate with hairs in indentation, 	obtuse	hairs	base acutish to obtuse, glabrous and ciliate, sometimes sparsely pilose; 	obtuse	ciliate,glabrous,pilose	-	-	-	0.6-1.5 x 0.2-1.4 cm	-	-	-	-	elliptic or ovate	ovate	fleshy-subcoriaceous	-	petiole |, glabrous or with a few hairs at node; 	-	-	glabrous,hairs	-	0.1-0.5 cm long	obsoletely palmately 3-veined. 	ob	-	-	-	-	Stem glabrous to somewhat minutely pubescent,|, fertile stems erect. 	-	-	glabrous,pubescent	erect	-	-	in forests especially cloud forests	-	-	high altitudes up to 1580 m	
Peperomia tetraphylla 	Fruits basely attached in depressions of rachis, narrowly ovoid to ellipsoid-subcylindrical,      	subcylindric,ovoid	-	-	-	-	apex with short beak and subapical stigma.	-	-	-	-	-	-	-	-	-	-	Epiphytic or rarely epilithic herb, cespitose or rooting at nodes and ascending. 	-	-	-	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle |, minutely pubescent, green; 	-	pubescent	green	to 2 cm long	terminal	-	rachis pubescent; 	pubescent	-	spike |, cream-white; 	-	-	cream,white	up to 4 cm long	-	-	-	-	-	-	-	-	Leaves in whorls of 4, basely attached;      	-	-	-	-	-	apex obtuse, rounded or emarginate, 	obtuse,rounded	-	base obtuse to subacute, somewhat ciliate towards apex and sparsely puberulent to glabrous; 	obtuse to subacute	ciliate,glabrous,puberulent,puberulent to glabrous	-	-	-	0.6-1.2 x 0.4-1.0 cm	-	-	-	-	rhombic, ovate-elliptic to suborbicular	suborbicular,ovate,rhombic	fleshy to subcoriaceous	-	petiole |, minutely pubescent; 	-	-	pubescent	-	0.05-0.2 cm long	obsoletely palmately 3-veined. 	ob	-	-	-	-	Stem |, minutely pubescent, green. 	-	-	pubescent	-	green	to 25 cm long	-	-	-	at higher altitudes	
Peperomia transparens 	Fruits basely attached, globose to ovoid, brown, verruculose,      	globose to ovoid	-	-	-	brown	apex with slender beak and terminal stigma.	-	-	terminal	-	-	-	-	-	-	-	Epilithic, erect or ascending, glabrous herb,  | , rhizome sometimes tuberous.     	-	glabrous	erect	-	Inflorescence |, solitary or few together; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle slender, |, red; 	-	-	red	1-4(-15) cm long	terminal	-	-	-	-	spike loosely flowered, erect, |, white or green; 	-	erect	red,white	2.5-5 cm long	-	-	-	-	-	-	-	-	Leaves alternate, peltate;      	-	-	-	-	-	apex rounded or somewhat acute, 	acute,rounded	-	base rounded to cordulate; 	rounded	-	-	-	-	2-7(-12) x 1.5-6.5 cm	-	-	-	-	ovate with acutish apex or broadly ovate to almost orbicular	orbicular,ovate	fleshy, somewhat bullate in vivo, membranous, almost translucent when dried	-	petiole attached 	-	-	-	-	1.5-6 cm long	palmately 5-7-veined (veins sometimes purple). 	-	-	-	-	purple	Stem |, green or red. 	-	-	-	-	green or red	10-20 cm long	on granitic rocks	-	-	250-850 m	
Peperomia urocarpa 	Fruits brown, ellipsoid with distinct beak,      	-	-	-	-	brown	-	-	-	-	-	-	-	stigma at base of beak.	-	-	-	Epiphytic or epilithic herb. 	-	-	-	-	Inflorescence solitary, simple, 	-	-	-	floral bracts rounded, with scariose margin. 	rounded	-	-	-	-	-	peduncle |, crisp-pubescent, 1-2 bracteate; 	-	pubescent	-	2-4 cm long	terminal	-	-	-	-	spike |, about as long as peduncle; 	-	-	-	1.5-5 cm long	-	-	-	-	-	-	-	-	Leaves alternate;      	blade pale glandular-dotted, 	-	-	-	-	apex acute to obtuse, 	acute to obtuse	-	base truncate to subcordate, occasionally obtuse, pubescent or villous on both sides, glabrescent; 	ob,obtuse,truncate	glabrescent,pubescent,pubescent or villous	-	-	-	2-3 x 2.7-7 cm	-	margin ciliolate towards apex, 	-	ciliolate	deltoid, ovate to broadly ovate	deltoid,ovate	-	-	petiole |, crisp-pubescent; 	-	-	pubescent	-	1.5-4.5 cm long	palmately 5-7-veined. 	-	-	-	-	-	Stem rooting at nodes, ascending, crisp-pubescent, glabrescent. 	-	-	glabrescent,pubescent	-	-	-	-	-	-	200-800-1200? m	
PIPER  	Fruits drupes, embedded in rachis to exserted, separate from each other or in compact rows, glabrous or with indument, globose or variously shaped due to compression,      	globose	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas persistent.	-	-	-	Herbs, subshrubs, shrubs or treelets, sometimes with scrambling branches, rarely climbers or lianas. 	-	-	-	-	Inflorescences simple, pedunculate spikes, solitary, leaf-opposed (in P. peltatum axillary on reduced, leafless branches, umbel-like);      	-	axillary	red	floral bracts peltate, rounded, triangular or cucullate, subtending reduced flowers. 	rounded,triangular	-	-	red	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate;      	blades basely attached or peltate, symmetrical or asymmetrical, at base often quite some difference in attachment of blade to petiole (measures are given where this occurs), glabrous or variously pubescent, often glandular-dotted, sometimes 	symmetrical	-	glabrous,pubescent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	scabrous	-	petioles often vaginate or winged, at base only or to apex (base of leaf blade), their margins may extend beyond base of blade; 	-	-	-	-	-	palmately or pinnately veined. 	-	-	-	-	-	Stems usually with swollen nodes. 	-	-	-	-	-	-	Weedy species in secondary vegetation, most species are found in the understory of various types of forest, in open spaces or on dark, humid places; 	-	-	from sea level to 2000 m	
Piper adenandrum 	Fruits separate at maturity, depressed globose, |, verruculose; 	globose	-	-	-	-	-	-	-	-	-	2.5-3(-4) mm in diam.	-	stigmas 3, sessile or fruits somewhat stylose.	-	-	-	Shrub or treelet, |, pubescent or villous, hairs 	-	hairs,pubescent,pubescent or villous	-	1.5 m tall	-	-	-	-	floral bracts densely marginally fringed; 	-	-	-	-	pendent	pendent	peduncle |, sometimes reddish tinged, crisp-pubescent or villous; 	-	pubescent or villous	reddish	0.5-1.1 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, green to pale or dark yellow, apiculate; 	apiculate	-	green,yellow	1-5 cm long	-	-	-	-	-	upper internodes densely glandular. 	-	-	-	blade not conspicuously glandular-dotted, 	-	-	-	-	apex long-acuminate, 	acuminate	-	base unequally attached to petiole difference |, acute or obtusish, glabrous or pubescent above, (densely) crisp-pubescent or villous beneath; 	acute or ob	glabrous or pubescent,pubescent or villous	-	-	0-0.2 cm	8-16.5 x 3-6(-7) cm	-	margin ciliate, 	-	ciliate	lance-elliptic or elliptic-ovate	ovate	-	-	Petiole |, vaginate to middle; 	-	-	-	-	0.2-0.5(-1) cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	from sea level to 500 m	
Piper aduncum 	fruits obovoid, trigonous or somewhat tetragonous, |, glabrous or glabrescent, glandular, 	ob,ovoid	-	-	glabrous	-	-	-	-	-	-	0.7-0.8 mm in diam.	-	stigmas 3, sessile.	-	-	-	Shrub or treelet, 	-	-	-	3-7 m tall	-	-	-	-	floral bracts densely marginally fringed; 	-	-	-	-	recurved	recurved	peduncle |, sparsely pubescent; 	-	pubescent	-	0.7-1.2(-2.5) cm long	-	-	-	-	-	spike |, white to green, apiculate; 	apiculate	-	white to green	8-15 cm long	Infructescence recurved;      	recurved	-	-	-	upper internodes rather slender. 	-	-	Leaves somewhat glandular-dotted;      	blade |, yellow-green, |, 	-	-	-	green,yellow	apex acuminate, 	acuminate	-	base unequally attached to petiole |, rounded to subcordate, sparsely pubescent at least on veins above or glabrescent, sparsely pubescent or glabrescent below, somewhat rugulose; 	rounded to subcordate	pubescent or glabrescent	-	-	-	12-24 x 3-8 cm	-	-	-	-	lanceolate or lanceolate-oblong or elliptic-ovate	oblong,ovate	scabrous	-	petiole |, pubescent, vaginate near base; 	-	-	pubescent	-	0.3-0.8 cm long	pinnately veined, secondary veins 6-8 per side, arising from 1/2 to 3/4 of primary vein, sharply ascending, impressed above, prominent below, tertiary veins parallel between secondaries, minor veins reticulate. 	-	-	-	-	-	Stem sparsely pubescent to glabrescent;      	-	-	pubescent to glabrescent	-	-	-	in open or somewhat shady places.	-	-	-	
Piper aequale 	fruits oblongoid to trigonous, |, brownish green, glabrous, 	oblongoid	-	-	glabrous	brownish,green	-	-	-	-	-	0.7-1(-3) mm in diam.	-	stigmas 3, sessile.	-	-	-	Shrub or treelet, |, glabrous. 	-	glabrous	-	1-4 m tall	-	-	-	-	floral bracts marginally fringed. 	-	-	-	-	erect	erect	peduncle slender, 	-	-	-	1-1.5 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, white or green, apiculate or not; 	apiculate	-	white or green	to 10 cm long	Infructescence (grey-)green;      	-	green,grey	-	-	-	-	-	-	blade |, not conspicuously glandular-dotted, shiny green above, pale below, often drying yellowish green, |, 	-	-	-	green,yellowish	apex acuminate, 	acuminate	-	base equally attached to petiole, acute, cuneate or obtuse, may be truncate or subcordate on sterile branches; 	acute,subcordate,cuneate,cuneate or ob,obtuse,truncate,truncate or subcordate	-	-	-	-	12-23 x 3.5-9(-11) cm	-	-	-	-	lanceolate to lance-elliptic or elliptic-ovate, broadly ovate on sterile branches, often asymmetrical: with one side wider in the lower half	asymmetrical,ovate	membranous or subcoriaceous	-	Petiole slender, |, vaginate only at base; 	-	-	-	-	1-1.5(-4) cm long	pinnately veined, secondary veins 4-6 per side, originating at a steep angle from 3/4 or more of primary vein, 2-3 lower ones from near base, slightly prominulous on both sides, often pale or yellow, tertiary venation inconspicuously reticulate, with some more prominent ones transverse. 	-	-	-	-	yellow	-	-	-	-	-	-	-	in forest or even in secondary vegetation, often on granitic outcrops; 	-	-	from sea level to 1500 m	
Piper alatabaccum 	Fruits separate, obovoid with 4 prominent, deltoid or lobed projections at top, glabrous or papillose,      	deltoid,ob,ovoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 4, sessile.	-	-	-	Shrub or treelet, |, glabrous. 	-	glabrous	-	2-3 m tall	-	-	-	-	floral bracts small, rounded peltate, glabrous, caducous; 	rounded	-	glabrous	-	erect	erect	peduncle 	-	-	-	to 1.2 cm long	-	-	rachis brownish crisp-pubescent. 	pubescent	brownish	spike |, white turning green, not apiculate; 	apiculate	-	green,white	5-8 cm long, to 12 cm in fruit	-	-	-	-	-	-	-	-	-	blade not conspicuously glandular-dotted, 	-	-	-	-	apex long-acuminate, 	acuminate	-	base equally attached to petiole, acute; 	acute	-	-	-	-	20-31 x 6-12 cm	-	-	-	-	elliptic	-	-	-	Petiole |, vaginate at base; 	-	-	-	-	1.2-2.5 cm long	pinnately veined, secondairy veins 7-10 per side, originating from throughout primary vein. 	-	-	-	-	-	-	-	-	-	-	-	-	from understory of mixed forest (on slopes);  	-	-	to 750 m	
