-	/fruits	/fruits/shape	/fruits/shape	/fruits/texture	/fruits/texture	/fruits/position	/fruits/position	/fruits/hairs	/fruits/hairs	/fruits/colour	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/position	/fruits/apex/hairs	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length/minimum	/fruits/dimensions (merged)/length/maximum	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width/minimum	/fruits/dimensions (merged)/width/maximum	/fruits/dimensions (merged)/texture	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/minimum	/fruits/stigma/maximum	/fruits/stigma/shape	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/hairs	/fruits/stigma/growth form	/fruits/stigma/growth form	/habit	/habit/minimum	/habit/maximum	/habit/texture	/habit/texture	/habit/hairs	/habit/hairs	/habit/growth form	/habit/growth form	/habit/height	/habit/height/minimum	/habit/height/maximum	/inflorescences	/inflorescences/minimum	/inflorescences/maximum	/inflorescences/shape	/inflorescences/shape	/inflorescences/position	/inflorescences/position	/inflorescences/colour	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/minimum	/inflorescences/peduncle/maximum	/inflorescences/peduncle/shape	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/peduncle/length/minimum	/inflorescences/peduncle/length/maximum	/inflorescences/position	/inflorescences/position/colour	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/colour	/inflorescences/spikes/length	/inflorescences/spikes/length/minimum	/inflorescences/spikes/length/maximum	/infructescences	/infructescences/growth form	/infructescences/growth form	/infructescences/colour	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/minimum	/infructescences/dimensions (merged)/maximum	/infructescences/dimensions (merged)/texture	/infructescences/dimensions (merged)/texture	/internodes	/internodes/minimum	/internodes/maximum	/internodes/hairs	/internodes/hairs	/internodes/colour	/internodes/colour	/leaves	/leaves/minimum	/leaves/maximum	/leaves/blade	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance/minimum	/leaves/blade/base/differential distance/maximum	/leaves/blade/dimensions	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length/minimum	/leaves/blade/dimensions/length/maximum	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width/minimum	/leaves/blade/dimensions/width/maximum	/leaves/blade/dimensions/minimum	/leaves/blade/dimensions/maximum	/leaves/blade/dimensions/growth form	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/minimum	/leaves/blade/margins/maximum	/leaves/blade/margins/shape	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/shape/minimum	/leaves/blade/shape/maximum	/leaves/blade/shape/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/minimum	/leaves/petiole/maximum	/leaves/petiole/texture	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/colour	/leaves/petiole/length	/leaves/petiole/length/minimum	/leaves/petiole/length/maximum	/leaves/veins	/leaves/veins/minimum	/leaves/veins/maximum	/leaves/veins/shape	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/hairs	/leaves/veins/colour	/leaves/veins/colour	/stems	/stems/shape	/stems/shape	/stems/texture	/stems/texture	/stems/hairs	/stems/hairs	/stems/growth form	/stems/growth form	/stems/colour	/stems/colour	/stems/length	/stems/length/minimum	/stems/length/maximum	/habitat	/habitat/growth form	/habitat/growth form	/habitat/colour	/habitat/colour	/habitat/altitude	/habitat/altitude/minimum	/habitat/altitude/maximum
Peperomia quadrangularis 	Fruits somewhat sunken when young, slightly stipitate when ripe, ovoid, smooth and shiny (in vivo) brown, upper half often grayish, verruculose or papillate, with apical stigma.	5290	ovoid	586	smooth	0	-	0	-	285	brown	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic or epilithic herb, creeping or hanging, sometimes mat-forming. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence |, solitary or two together, 	-	-	0	-	0	-	0	-	floral bracts rounded or oblong, glabrous, glandular; 	6354	rounded or oblong	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle not slender, |, pubescent, 2-bracteate, red, brownish or green; 	-	-	0	-	386	pubescent	307	brownish or green,red	0.5-4 cm long	0.5	4	axillary or occasionally terminal	0	-	rachis strongly ridged (at least when dried). 	0	-	0	-	spike |, green or yellow-green, laxly to moderately flowered; 	0	-	0	-	852	green or yellow	up to 6 cm long	-	6	-	0	-	0	-	-	-	-	-	-	0	-	internodes 2-6 cm long |, green brownish or reddish. 	2	6	0	-	333	brownish or reddish	Leaves opposite, basely attached;      	-	-	-	0	-	0	-	0	-	0	-	apex obtuse, rounded or slightly acute, 	247	acute,ob,obtuse,rounded	0	-	base acute to rounded, dark green above, with paler veins beneath, minutely puberulent above, sparsely so and glabrescent beneath; 	348	acute to rounded	71	glabrescent,puberulent	0	-	782	green	-	-	-	1-4.5 x 0.8-2.2(-2.7) cm	1-4.5	-	-	0.8-2.2	0.8	2.2	1	4.5	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	broadly elliptic, obovate or orbicular	-	-	4306	ob,orbicular,ovate,ovate or orbicular	fleshy coriaceous	0	-	petiole |, glabrous or minutely pubescent; 	-	-	0	-	0	-	71	glabrous,pubescent	0	-	0.1-0.5 cm long	-	-	palmately 3-veined, veins impressed above, prominent beneath. 	-	-	0	-	0	-	0	-	0	-	0	-	Stem quadrangular, minutely pubescent,      	5659	quadrangular	0	-	386	pubescent	0	-	0	-	-	-	-	in savanna forest, 	0	-	0	-	up to 200 m	-	200
Peperomia quadrifolia 	Fruits basely attached, ovoid or subglobose, brown,      	5354	ovoid or subglobose	0	-	0	-	0	-	285	brown	apex attenuate or somewhat stylose, 	862	attenuate	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma apical.	-	-	0	-	0	-	0	-	Epiphytic, trailing, glabrous herb. 	-	-	0	-	71	glabrous	0	-	-	-	-	Inflorescence |, solitary, 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous and sparsely glandular. 	6274	rounded	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle not slender, |, green; 	-	-	0	-	0	-	782	green	up to 1.7 cm long	-	1.7	terminal	0	-	-	0	-	0	-	spike |, densely flowered, green; 	0	-	0	-	782	green,red	1-3.5 (according to Henkel 946, to 10) cm long	1	10	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves in whorls of 3-6, usually 4, basely attached;      	3	6	-	0	-	0	-	0	-	0	-	apex emarginate, occasionally with hairs in indentation, 	0	-	106	hairs	base acute; 	247	acute	0	-	0	-	0	-	-	-	-	0.6-1.8 x 0.4-1.0 cm	0.6-1.8	0.6	1.8	0.4-1.0	0.4	1	0.6	1.8	0	-	-	-	-	0	-	0	-	6520	subspathulate, or elliptic-, or oblong-obovate	-	-	4798	oblong,ovate,subspathulate	fleshy-coriaceous	0	-	petiole 	-	-	0	-	0	-	0	-	0	-	0.1-0.4 cm long	0.1	0.4	palmately 3-veined. 	-	-	0	-	0	-	0	-	0	-	0	-	Stem erect to ascending, glabrous, |, green or reddish. 	0	-	0	-	71	glabrous	43	erect	830	green or reddish	up to 25 cm long	-	25	-	0	-	0	-	1000-2800 m	1000	2800
Peperomia reptans 	Fruits basely attached, subglobose to ovoid, with more or less hooked beak and subapical stigma.	3899	subglobose to ovoid	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic, terrestrial or epilithic herb, creeping. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence single, 	-	-	0	-	0	-	0	-	floral bracts rounded, glandular. 	6274	rounded	0	-	0	-	0	-	0	-	0	-	peduncle not slender, often bracteate, |, longer than spike, pubescent, sometimes red; 	-	-	0	-	386	pubescent	1705	red	3-6 cm long	3	6	axillary	0	-	-	0	-	0	-	spike |, green or yellow, densely flowered; 	0	-	0	-	852	green or yellow	1-2.5 cm long	1	2.5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	blade |, dark green above, light green beneath, |, 	0	-	0	-	0	-	782	green	apex acutely obtuse, 	247	acute,ob,obtuse	0	-	base cordate, cordulate or rounded, brown appressed-pilose above, below light green (Tillett), red with green (Persaud) or brown (Hahn) stripes and white hairs (Persaud); 	2092	cordate,rounded	106	hairs,pilose	0	-	285	brown,green,red,white	-	-	-	0.8-2.5 x 0.8-2.5 cm	0.8-2.5	0.8	2.5	0.8-2.5	0.8	2.5	0.8	2.5	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	broadly ovate to deltoid	-	-	5214	ovate to deltoid	fleshy, coriaceous	0	-	petiole |, retrorsely appressed-pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	1-1.5(-4.5) cm long	1	1.5	venation obvious in dried state, obsoletely palmately 5-7-veined. 	5	7	4306	ob	0	-	0	-	0	-	0	-	Stem succulent, glossy, retrorsely crisp-pubescent, green with red spots or reddish. 	0	-	0	-	386	pubescent	0	-	782	green,red	-	-	-	-	0	-	0	-	300-1900 m	300	1900
Peperomia rhombea 	Fruits ellipsoid or ovoid, |, slightly stipitate at maturity, 	5290	ovoid	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0.9-1 mm long	-	-	-	-	-	-	0	-	stigma apical.	-	-	0	-	0	-	0	-	Epiphytic, stoloniferous herb. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescence |, solitary, simple; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle |, minutely pubescent; 	-	-	0	-	386	pubescent	0	-	0.8-3.7 cm long	0.8	3.7	terminal	0	-	-	0	-	0	-	spike 	0	-	0	-	0	-	2.2-6 cm long	2.2	6	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves in whorls of 3-5, usually 4;      	3	5	-	0	-	0	-	0	-	0	-	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	1.3-1.5 x 0.4-1 cm	1.3-1.5	1.3	1.5	0.4	-	-	1.3	1.5	0	-	margin ciliolate at apex, obtuse at apex, narrowly acute at base, glabrous above, sparsely minutely pubescent below; 	-	-	247	acute,ob,obtuse	1	ciliolate,glabrous,pubescent	5905	subrhombic, elliptic or narrowly elliptic	-	-	5905	subrhombic	coriaceous fleshy	0	-	petiole |, minutely pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	0.1-0.5 cm long	-	-	distinctly palmately 3-veined. 	-	-	0	-	0	-	0	-	0	-	0	-	Stem sparsely pubescent. 	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Peperomia rotundifolia 	Fruits (sub)basely attached, globose to ovoid, brown, reticulately verruculose,      	3899	globose to ovoid	0	-	0	-	0	-	285	brown	apex oblique with subapical stigma.	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic or epilithic herb, prostrate with ascending stem tips rooting at nodes. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle not nodose, without bract, |, pubescent or glabrous; 	-	-	0	-	392	pubescent or glabrous	0	-	up to 1 cm long	-	1	terminal	0	-	-	0	-	0	-	spike |, yellow to red, moderately to densely flowered; 	0	-	0	-	2535	yellow to red	2-6 cm long	2	6	-	0	-	0	-	-	-	-	-	-	0	-	internodes 0.3-2 cm long |, green often with red spots. 	0.3	2	0	-	782	green,red	Leaves alternate, basely attached, sometimes subpeltate,      	-	-	-	0	-	0	-	0	-	0	-	apex rounded, 	6274	rounded	0	-	base rounded, glabrous to puberulent; 	6274	rounded	90	glabrous to puberulent	0	-	0	-	-	-	-	(0.5-)1-1.2 x (0.5-)1-1.2 cm	-	-	-	-	-	-	1	1.2	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	broadly elliptic to elliptic or almost orbicular	-	-	5044	orbicular	fleshy or fleshy coriaceous	0	-	petiole |, pubescent to glabrous; 	-	-	0	-	0	-	391	pubescent to glabrous	0	-	up to 1 cm long	-	1	obsolete palmately 3-veined. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem crisp-pubescent when young,      	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	humid forests 	0	-	0	-	from 0 up to 1000 m	0	1000
Peperomia serpens 	Fruits basely attached, ellipsoid, brown,      	0	-	0	-	0	-	0	-	285	brown	apex with slender beak and subapical stigma.	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic or epilithic herb, creeping or twining and rooting at nodes. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle nodose or with 1-2 caducous bracts, not slender, |, crisp-pubescent, not winged, green; 	1	2	0	-	386	pubescent	782	green	to 3 cm long	-	3	terminal	0	-	-	0	-	0	-	spike |, pale green, densely flowered; 	0	-	0	-	782	green,red	up to 1.7 cm long	-	1.7	-	0	-	0	-	-	-	-	-	-	0	-	internodes 0.5-3 cm long |, green. 	0.5	3	0	-	782	green	Leaves alternate, slightly peltate;      	-	-	blade |, ciliolate towards apex, 	0	-	0	-	1	ciliolate	0	-	apex rounded, 	6274	rounded	0	-	base rounded, some hairs on young leaves only; 	6274	rounded	106	hairs	0	-	0	-	-	-	-	1-2 x 1-2 cm	2	-	-	1	-	-	1	2	0	-	-	-	-	0	-	0	-	0	broadly elliptic or deltoid	-	-	2830	deltoid	fleshy or slightly coriaceous	0	-	petiole |, crisp-pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	to 2 cm long	-	2	venation obsoletely 3-5-veined. 	3	5	4306	ob	0	-	0	-	0	-	0	-	Stem minutely crisp-pubescent,      	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	-	0	-	0	-	from 0 to 1200 m	0	1200
Peperomia tenella 	Fruits slightly stipitate at maturity, ellipsoid to obpyriform, with short beak and apical stigma.	4306	ob,pyriform	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Terrestrial, epilithic or epiphytic, not branched, tiny herb, decumbent and rooting at base,      	-	-	0	-	0	-	0	-	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded to narrowly oblong, glabrous, glandular. 	4798	oblong,rounded	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle not slender, |, glabrous, green; 	-	-	0	-	71	glabrous	782	green	0.4-1.5 cm long	0.4	1.5	terminal	0	-	-	0	-	0	-	spike |, green, flowers distinctly separate; 	0	-	0	-	782	green	1.7-4 cm long	1.7	4	-	0	-	0	-	-	-	-	-	-	0	-	internodes 0.2-1.6 cm long |, green with lilac. 	0.2	1.6	0	-	782	green,lilac	Leaves alternate, basely attached;      	-	-	-	0	-	0	-	0	-	0	-	apex obtuse and minutely emarginate with hairs in indentation, 	4921	obtuse	106	hairs	base acutish to obtuse, glabrous and ciliate, sometimes sparsely pilose; 	4921	obtuse	1	ciliate,glabrous,pilose	0	-	0	-	-	-	-	0.6-1.5 x 0.2-1.4 cm	0.6-1.5	0.6	1.5	0.2-1.4	0.2	1.4	0.6	1.5	0	-	-	-	-	0	-	0	-	0	elliptic or ovate	-	-	5167	ovate	fleshy-subcoriaceous	0	-	petiole |, glabrous or with a few hairs at node; 	-	-	0	-	0	-	71	glabrous,hairs	0	-	0.1-0.5 cm long	-	-	obsoletely palmately 3-veined. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem glabrous to somewhat minutely pubescent,|, fertile stems erect. 	0	-	0	-	71	glabrous,pubescent	43	erect	0	-	-	-	-	in forests especially cloud forests	0	-	0	-	high altitudes up to 1580 m	-	1580
Peperomia tetraphylla 	Fruits basely attached in depressions of rachis, narrowly ovoid to ellipsoid-subcylindrical,      	2461	subcylindric,ovoid	0	-	0	-	0	-	0	-	apex with short beak and subapical stigma.	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic or rarely epilithic herb, cespitose or rooting at nodes and ascending. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle |, minutely pubescent, green; 	-	-	0	-	386	pubescent	782	green	to 2 cm long	-	2	terminal	0	-	rachis pubescent; 	386	pubescent	0	-	spike |, cream-white; 	0	-	0	-	498	cream,white	up to 4 cm long	-	4	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves in whorls of 4, basely attached;      	-	-	-	0	-	0	-	0	-	0	-	apex obtuse, rounded or emarginate, 	4921	obtuse,rounded	0	-	base obtuse to subacute, somewhat ciliate towards apex and sparsely puberulent to glabrous; 	4926	obtuse to subacute	1	ciliate,glabrous,puberulent,puberulent to glabrous	0	-	0	-	-	-	-	0.6-1.2 x 0.4-1.0 cm	0.6-1.2	0.6	1.2	0.4-1.0	-	-	0.6	1.2	0	-	-	-	-	0	-	0	-	5905	rhombic, ovate-elliptic to suborbicular	-	-	5044	suborbicular,ovate,rhombic	fleshy to subcoriaceous	0	-	petiole |, minutely pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	0.05-0.2 cm long	0.05	0.2	obsoletely palmately 3-veined. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem |, minutely pubescent, green. 	0	-	0	-	386	pubescent	0	-	782	green	to 25 cm long	-	25	-	0	-	0	-	at higher altitudes	-	-
Peperomia transparens 	Fruits basely attached, globose to ovoid, brown, verruculose,      	3899	globose to ovoid	0	-	0	-	0	-	285	brown	apex with slender beak and terminal stigma.	0	-	0	-	56	terminal	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epilithic, erect or ascending, glabrous herb,  | , rhizome sometimes tuberous.     	-	-	0	-	71	glabrous	43	erect	-	-	-	Inflorescence |, solitary or few together; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle slender, |, red; 	-	-	0	-	0	-	1705	red	1-4(-15) cm long	1	4	terminal	0	-	-	0	-	0	-	spike loosely flowered, erect, |, white or green; 	0	-	43	erect	1705	red,white	2.5-5 cm long	2.5	5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, peltate;      	-	-	-	0	-	0	-	0	-	0	-	apex rounded or somewhat acute, 	247	acute,rounded	0	-	base rounded to cordulate; 	6274	rounded	0	-	0	-	0	-	-	-	-	2-7(-12) x 1.5-6.5 cm	-	-	-	-	-	-	2	7	0	-	-	-	-	0	-	0	-	0	ovate with acutish apex or broadly ovate to almost orbicular	-	-	5044	orbicular,ovate	fleshy, somewhat bullate in vivo, membranous, almost translucent when dried	0	-	petiole attached 	-	-	0	-	0	-	0	-	0	-	1.5-6 cm long	1.5	6	palmately 5-7-veined (veins sometimes purple). 	5	7	0	-	0	-	0	-	0	-	1634	purple	Stem |, green or red. 	0	-	0	-	0	-	0	-	830	green or red	10-20 cm long	10	20	on granitic rocks	0	-	0	-	250-850 m	250	850
Peperomia urocarpa 	Fruits brown, ellipsoid with distinct beak,      	0	-	0	-	0	-	0	-	285	brown	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma at base of beak.	-	-	0	-	0	-	0	-	Epiphytic or epilithic herb. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescence solitary, simple, 	-	-	0	-	0	-	0	-	floral bracts rounded, with scariose margin. 	6274	rounded	0	-	0	-	0	-	0	-	0	-	peduncle |, crisp-pubescent, 1-2 bracteate; 	1	2	0	-	386	pubescent	0	-	2-4 cm long	2	4	terminal	0	-	-	0	-	0	-	spike |, about as long as peduncle; 	0	-	0	-	0	-	1.5-5 cm long	1.5	5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate;      	-	-	blade pale glandular-dotted, 	0	-	0	-	0	-	0	-	apex acute to obtuse, 	326	acute to obtuse	0	-	base truncate to subcordate, occasionally obtuse, pubescent or villous on both sides, glabrescent; 	4306	ob,obtuse,truncate	71	glabrescent,pubescent,pubescent or villous	0	-	0	-	-	-	-	2-3 x 2.7-7 cm	3	-	-	2.7	-	-	2	3	0	-	margin ciliolate towards apex, 	-	-	0	-	1	ciliolate	2830	deltoid, ovate to broadly ovate	-	-	2830	deltoid,ovate	-	0	-	petiole |, crisp-pubescent; 	-	-	0	-	0	-	386	pubescent	0	-	1.5-4.5 cm long	1.5	4.5	palmately 5-7-veined. 	-	-	0	-	0	-	0	-	0	-	0	-	Stem rooting at nodes, ascending, crisp-pubescent, glabrescent. 	0	-	0	-	71	glabrescent,pubescent	0	-	0	-	-	-	-	-	0	-	0	-	200-800-1200? m	200	800
PIPER  	Fruits drupes, embedded in rachis to exserted, separate from each other or in compact rows, glabrous or with indument, globose or variously shaped due to compression,      	3814	globose	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas persistent.	-	-	0	-	0	-	0	-	Herbs, subshrubs, shrubs or treelets, sometimes with scrambling branches, rarely climbers or lianas. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescences simple, pedunculate spikes, solitary, leaf-opposed (in P. peltatum axillary on reduced, leafless branches, umbel-like);      	-	-	0	-	1	axillary	1705	red	floral bracts peltate, rounded, triangular or cucullate, subtending reduced flowers. 	6274	rounded,triangular	0	-	0	-	1705	red	0	-	0	-	-	-	-	0	-	0	-	0	-	-	-	-	-	0	-	-	0	-	0	-	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate;      	-	-	blades basely attached or peltate, symmetrical or asymmetrical, at base often quite some difference in attachment of blade to petiole (measures are given where this occurs), glabrous or variously pubescent, often glandular-dotted, sometimes 	739	symmetrical	0	-	71	glabrous,pubescent	0	-	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	-	-	0	-	scabrous	0	-	petioles often vaginate or winged, at base only or to apex (base of leaf blade), their margins may extend beyond base of blade; 	-	-	0	-	0	-	0	-	0	-	-	-	-	palmately or pinnately veined. 	-	-	0	-	0	-	0	-	0	-	0	-	Stems usually with swollen nodes. 	0	-	0	-	0	-	0	-	0	-	-	-	-	Weedy species in secondary vegetation, most species are found in the understory of various types of forest, in open spaces or on dark, humid places; 	0	-	0	-	from 0 to 2000 m	0	2000
Piper adenandrum 	Fruits separate at maturity, depressed globose, |, verruculose; 	3814	globose	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	2.5-3(-4) mm in diam.	-	-	-	-	-	-	0	-	stigmas 3, sessile or fruits somewhat stylose.	-	-	0	-	0	-	0	-	Shrub or treelet, |, pubescent or villous, hairs 	-	-	0	-	106	hairs,pubescent,pubescent or villous	0	-	1.5 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed; 	0	-	0	-	0	-	0	-	106	pendent	106	pendent	peduncle |, sometimes reddish tinged, crisp-pubescent or villous; 	-	-	0	-	420	pubescent or villous	1705	reddish	0.5-1.1 cm long	0.5	1.1	-	0	-	rachis glabrous; 	71	glabrous	0	-	spike |, green to pale or dark yellow, apiculate; 	616	apiculate	0	-	782	green,yellow	1-5 cm long	1	5	-	0	-	0	-	-	-	-	-	-	0	-	upper internodes densely glandular. 	-	-	0	-	0	-	-	-	-	blade not conspicuously glandular-dotted, 	0	-	0	-	0	-	0	-	apex long-acuminate, 	124	acuminate	0	-	base unequally attached to petiole difference |, acute or obtusish, glabrous or pubescent above, (densely) crisp-pubescent or villous beneath; 	317	acute or ob	93	glabrous or pubescent,pubescent or villous	0	-	0	-	0-0.2 cm	0	0.2	8-16.5 x 3-6(-7) cm	8-16.5	8	16.5	3	-	-	8	16.5	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	lance-elliptic or elliptic-ovate	-	-	5167	ovate	-	0	-	Petiole |, vaginate to middle; 	-	-	0	-	0	-	0	-	0	-	0.2-0.5(-1) cm long	0.2	0.5	-	-	-	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	from 0 to 500 m	0	500
